model,num_layers,hidden_channels,dropout,lr,best_L,best_epoch
GAT,2,32,0.0,0.01,2.788092613220215,-1
GAT,2,16,0.2,0.001,2.7882211208343506,-1
GAT,2,16,0.0,0.05,2.815372943878174,-1
GAT,2,64,0.0,0.001,2.8156893253326416,-1
GAT,2,64,0.0,0.01,2.8192152976989746,-1
GAT,2,64,0.2,0.001,2.8192193508148193,-1
GAT,2,16,0.2,0.01,2.8235795497894287,-1
GAT,3,64,0.2,0.001,2.839629650115967,-1
GAT,3,32,0.2,0.01,2.840181589126587,-1
GAT,3,64,0.0,0.01,2.8465116024017334,-1
GAT,4,64,0.0,0.001,2.8497774600982666,-1
GAT,3,64,0.0,0.05,2.8513998985290527,-1
GAT,2,64,0.5,0.001,2.8526036739349365,-1
GAT,2,64,0.2,0.01,2.8769173622131348,-1
GAT,4,64,0.0,0.01,2.8769216537475586,-1
GAT,3,32,0.0,0.01,2.8769283294677734,-1
GAT,2,32,0.0,0.05,2.9122376441955566,-1
GAT,3,64,0.2,0.01,2.913008689880371,-1
GAT,2,16,0.2,0.05,2.9130091667175293,-1
GAT,2,32,0.2,0.001,2.9130256175994873,-1
GAT,2,16,0.0,0.01,2.9130353927612305,-1
GAT,3,16,0.0,0.01,2.9130427837371826,-1
GAT,2,32,0.5,0.001,2.914536952972412,-1
GAT,2,64,0.0,0.05,2.9244184494018555,-1
GAT,3,32,0.0,0.001,2.92885684967041,-1
GAT,3,16,0.0,0.001,2.933393955230713,-1
GAT,2,16,0.5,0.01,2.9402964115142822,-1
GAT,3,16,0.2,0.01,2.940303325653076,-1
GAT,3,16,0.0,0.05,2.9403045177459717,-1
GAT,4,32,0.2,0.001,2.940319776535034,-1
GAT,4,16,0.0,0.01,2.9403395652770996,-1
GAT,2,32,0.2,0.01,2.945411205291748,-1
GAT,3,64,0.0,0.001,2.945920944213867,-1
GAT,4,32,0.0,0.001,2.9498095512390137,-1
GAT,2,16,0.0,0.001,2.9607136249542236,-1
GAT,4,32,0.0,0.01,2.963465690612793,-1
GAT,2,32,0.5,0.01,2.966059446334839,-1
GAT,2,32,0.0,0.001,2.9675047397613525,-1
GAT,1,32,0.0,0.05,2.972569704055786,-1
GAT,2,16,0.5,0.001,2.9790470600128174,-1
GAT,3,32,0.2,0.001,2.9846904277801514,-1
GAT,2,64,0.2,0.05,3.014847993850708,-1
