model,num_layers,hidden_channels,dropout,lr,best_L,best_epoch
GCN,2,64,0.5,0.05,2.7880780696868896,-1
GCN,2,32,0.5,0.05,2.7880783081054688,-1
GCN,3,64,0.2,0.01,2.7880799770355225,-1
GCN,4,32,0.2,0.01,2.788080930709839,-1
GCN,2,32,0.0,0.01,2.7881059646606445,-1
GCN,3,64,0.2,0.05,2.788106918334961,-1
GCN,2,32,0.2,0.05,2.7910797595977783,-1
GCN,3,64,0.5,0.01,2.7915751934051514,-1
GCN,4,64,0.0,0.01,2.791576862335205,-1
GCN,3,64,0.2,0.001,2.7917466163635254,-1
GCN,4,32,0.0,0.001,2.7923688888549805,-1
GCN,2,64,0.2,0.001,2.794245958328247,-1
GCN,2,64,0.0,0.01,2.7947232723236084,-1
GCN,2,32,0.5,0.001,2.796422004699707,-1
GCN,2,32,0.2,0.001,2.7965569496154785,-1
GCN,2,16,0.0,0.001,2.7990031242370605,-1
GCN,3,16,0.0,0.05,2.8153743743896484,-1
GCN,2,16,0.5,0.01,2.8154001235961914,-1
GCN,2,64,0.5,0.001,2.818795919418335,-1
GCN,3,32,0.0,0.05,2.823559522628784,-1
GCN,2,16,0.0,0.05,2.823561191558838,-1
GCN,3,64,0.0,0.01,2.8235692977905273,-1
GCN,4,64,0.2,0.01,2.8235793113708496,-1
GCN,3,32,0.0,0.01,2.823603630065918,-1
GCN,2,16,0.0,0.01,2.8236443996429443,-1
GCN,4,32,0.2,0.001,2.8240320682525635,-1
GCN,2,32,0.2,0.01,2.8245110511779785,-1
GCN,4,64,0.0,0.001,2.8266148567199707,-1
GCN,3,64,0.5,0.001,2.827348232269287,-1
GCN,3,64,0.5,0.05,2.8302900791168213,-1
GCN,3,16,0.2,0.001,2.8377809524536133,-1
GCN,2,64,0.2,0.05,2.8407676219940186,-1
GCN,2,32,0.5,0.01,2.850877523422241,-1
GCN,2,16,0.2,0.01,2.85089111328125,-1
GCN,4,32,0.0,0.01,2.8525586128234863,-1
GCN,3,32,0.2,0.01,2.8550121784210205,-1
GCN,2,16,0.5,0.05,2.8566436767578125,-1
GCN,2,64,0.0,0.001,2.8578944206237793,-1
GCN,2,64,0.0,0.05,2.859827995300293,-1
GCN,4,16,0.0,0.01,2.859890937805176,-1
GCN,3,16,0.0,0.001,2.8652260303497314,-1
GCN,4,64,0.5,0.001,2.8653550148010254,-1
GCN,2,16,0.5,0.001,2.8717665672302246,-1
GCN,4,16,0.0,0.001,2.877784013748169,-1
