model,num_layers,hidden_channels,dropout,lr,best_L,best_epoch,runtime_sec
GCN,1,5850,0.01,0.0001,14.296182632446289,-1,272.405857333603
GCN,1,5850,0.01,0.01,11.326736450195312,-1,277.34655237623764
GCN,1,5850,0.01,0.05,11.027174949645996,-1,278.5988318811882
GCN,1,5850,0.2,0.0001,14.296184539794922,-1,281.8915944444446
GCN,1,5850,0.2,0.001,11.508052825927734,-1,283.732704950495
GCN,1,5850,0.2,0.01,11.145227432250977,-1,280.75779029702966
GCN,1,5850,0.2,0.05,11.048311233520508,-1,278.6610926732674
GCN,1,5850,0.5,0.0001,14.296188354492188,-1,282.10443857142633
GCN,1,5850,0.5,0.001,11.61215877532959,-1,283.9709256435643
GCN,1,5850,0.5,0.01,11.13446044921875,-1,281.1931449504951
GCN,1,5850,0.5,0.05,11.3261079788208,-1,278.367138217822
GCN,1,11701,0.01,0.0001,14.296182632446289,-1,282.9764914285696
GCN,1,11701,0.01,0.001,11.604621887207031,-1,283.9036296039602
GCN,1,11701,0.01,0.01,11.230018615722656,-1,281.23124178217824
GCN,1,11701,0.01,0.05,11.03548526763916,-1,278.4135574257426
GCN,1,11701,0.2,0.0001,14.296180725097656,-1,281.72188083333367
GCN,1,11701,0.2,0.001,11.654319763183594,-1,283.62833920792076
GCN,1,11701,0.2,0.01,11.146352767944336,-1,281.19171980198
GCN,1,11701,0.2,0.05,11.169374465942383,-1,278.04776782178203
GCN,1,11701,0.5,0.0001,14.296184539794922,-1,281.4014855555595
GCN,1,11701,0.5,0.001,11.702703475952148,-1,283.7133814851489
GCN,1,11701,0.5,0.01,11.654596328735352,-1,280.9180049504948
GCN,1,11701,0.5,0.05,11.14491081237793,-1,278.07053059405905
GCN,1,23402,0.01,0.0001,14.296184539794922,-1,280.58096749999777
GCN,1,23402,0.01,0.001,11.617708206176758,-1,283.6694554455447
GCN,1,23402,0.01,0.01,11.661457061767578,-1,281.3188474257427
GCN,1,23402,0.01,0.05,11.145315170288086,-1,278.55963603960396
GCN,1,23402,0.2,0.0001,14.296186447143555,-1,281.5833500000028
GCN,1,23402,0.2,0.001,11.673094749450684,-1,283.35363089108887
GCN,1,23402,0.2,0.01,11.16908073425293,-1,280.9983697029701
GCN,1,23402,0.2,0.05,11.021627426147461,-1,278.4117356435645
GCN,1,23402,0.5,0.0001,14.296180725097656,-1,282.8687261538457
GCN,1,23402,0.5,0.001,11.433574676513672,-1,283.6730878217825
GCN,1,23402,0.5,0.01,11.412710189819336,-1,281.1527214851486
GCN,1,23402,0.5,0.05,11.350954055786133,-1,278.08980118811945
GCN,2,5850,0.01,0.0001,10.329429626464844,-1,301.8128339603956
GCN,2,5850,0.01,0.001,10.474266052246094,-1,300.193511584158
GCN,2,5850,0.01,0.01,10.417407989501953,-1,293.56444439024307
GCN,2,5850,0.01,0.05,10.38017463684082,-1,286.0696344117648
GCN,2,5850,0.2,0.0001,10.336112976074219,-1,301.7966345544547
GCN,2,5850,0.2,0.001,10.385172843933105,-1,300.0403351485147
GCN,2,5850,0.2,0.01,10.527848243713379,-1,293.7331273267323
GCN,2,5850,0.2,0.05,10.375932693481445,-1,286.97520578947376
GCN,2,5850,0.5,0.0001,10.34554672241211,-1,301.29284524752467
GCN,2,5850,0.5,0.001,10.505491256713867,-1,300.00410504950503
GCN,2,5850,0.5,0.01,10.627518653869629,-1,294.6109204761905
GCN,2,5850,0.5,0.05,10.395336151123047,-1,285.26084432432486
GCN,2,11701,0.01,0.0001,10.334625244140625,-1,381.9910435643569
GCN,2,11701,0.01,0.001,10.351781845092773,-1,380.58839792079243
GCN,2,11701,0.01,0.01,10.437623977661133,-1,371.02121792452994
GCN,2,11701,0.01,0.05,10.530519485473633,-1,368.1835129411732
GCN,2,11701,0.2,0.0001,10.351229667663574,-1,382.583576930692
GCN,2,11701,0.2,0.001,10.388925552368164,-1,380.56892752475227
GCN,2,11701,0.2,0.01,10.507638931274414,-1,383.4670987499976
GCN,2,11701,0.2,0.05,10.507061004638672,-1,369.4299506250104
GCN,2,11701,0.5,0.0001,10.361603736877441,-1,381.57848752475144
GCN,2,11701,0.5,0.001,10.40561580657959,-1,380.53392188118806
