model,num_layers,hidden_channels,dropout,lr,best_L,best_epoch
GIN,1,64,0.0,0.001,2.793789863586426,-1
GIN,2,64,0.0,0.001,2.815885066986084,-1
GIN,1,32,0.0,0.01,2.818408489227295,-1
GIN,1,16,0.5,0.001,2.8215553760528564,-1
GIN,1,64,0.0,0.05,2.823559284210205,-1
GIN,1,64,0.2,0.001,2.8293182849884033,-1
GIN,2,16,0.2,0.01,2.8508780002593994,-1
GIN,2,64,0.5,0.01,2.8508787155151367,-1
GIN,2,64,0.2,0.01,2.850884199142456,-1
GIN,1,32,0.2,0.01,2.850886344909668,-1
GIN,4,64,0.0,0.001,2.851236581802368,-1
GIN,3,32,0.0,0.001,2.851405143737793,-1
GIN,4,32,0.0,0.001,2.8514599800109863,-1
GIN,2,64,0.2,0.001,2.854203462600708,-1
GIN,3,64,0.2,0.001,2.8543670177459717,-1
GIN,2,32,0.0,0.001,2.854389190673828,-1
GIN,3,16,0.0,0.001,2.854814291000366,-1
GIN,1,32,0.2,0.05,2.856459617614746,-1
GIN,1,16,0.2,0.05,2.8574490547180176,-1
GIN,1,32,0.0,0.001,2.8583438396453857,-1
GIN,1,64,0.2,0.05,2.8602755069732666,-1
GIN,1,64,0.5,0.001,2.8608272075653076,-1
GIN,2,32,0.2,0.001,2.861889600753784,-1
GIN,2,16,0.0,0.001,2.8782286643981934,-1
GIN,2,32,0.5,0.001,2.8788764476776123,-1
GIN,1,64,0.2,0.01,2.87905216217041,-1
GIN,1,32,0.0,0.05,2.886735439300537,-1
GIN,2,64,0.0,0.01,2.887075185775757,-1
GIN,1,32,0.5,0.01,2.902698516845703,-1
GIN,3,64,0.0,0.001,2.906184196472168,-1
GIN,2,16,0.2,0.001,2.906290054321289,-1
GIN,1,16,0.0,0.05,2.9107131958007812,-1
GIN,1,16,0.0,0.01,2.910736322402954,-1
GIN,3,64,0.2,0.01,2.916792869567871,-1
GIN,3,64,0.0,0.01,2.916865110397339,-1
GIN,4,64,0.2,0.001,2.917396068572998,-1
GIN,3,64,0.5,0.001,2.920311450958252,-1
GIN,2,64,0.5,0.001,2.9203925132751465,-1
GIN,4,32,0.2,0.001,2.920504093170166,-1
GIN,4,64,0.5,0.001,2.9209930896759033,-1
GIN,2,32,0.0,0.01,2.9222097396850586,-1
GIN,1,64,0.5,0.01,2.941610813140869,-1
GIN,4,16,0.0,0.001,2.9435341358184814,-1
GIN,1,16,0.2,0.001,2.948096990585327,-1
GIN,1,16,0.5,0.01,2.9531302452087402,-1
GIN,2,32,0.2,0.01,2.958073616027832,-1
GIN,1,32,0.5,0.001,2.964322090148926,-1
GIN,2,32,0.5,0.01,2.965823173522949,-1
GIN,1,64,0.0,0.01,2.9679622650146484,-1
GIN,4,32,0.5,0.01,2.9702560901641846,-1
GIN,1,32,0.5,0.05,2.971632480621338,-1
GIN,2,16,0.5,0.001,2.9797117710113525,-1
GIN,3,16,0.2,0.001,2.9798390865325928,-1
GIN,3,16,0.0,0.01,3.0107109546661377,-1
GIN,1,16,0.0,0.001,3.014702081680298,-1
GIN,4,16,0.0,0.01,3.0240471363067627,-1
GIN,1,64,0.5,0.05,3.0270073413848877,-1
GIN,3,32,0.2,0.001,3.0309436321258545,-1
GIN,1,32,0.2,0.001,3.040381669998169,-1
GIN,4,64,0.2,0.01,3.045924186706543,-1
GIN,3,16,0.2,0.01,3.0496134757995605,-1
GIN,3,32,0.5,0.001,3.0547308921813965,-1
GIN,4,16,0.2,0.001,3.0547633171081543,-1
GIN,4,32,0.2,0.01,3.0554068088531494,-1
GIN,1,16,0.5,0.05,3.056795597076416,-1
GIN,2,16,0.5,0.01,3.070579767227173,-1
GIN,2,16,0.0,0.01,3.0747475624084473,-1
GIN,1,16,0.2,0.01,3.084446668624878,-1
GIN,3,32,0.2,0.01,3.113166570663452,-1
GIN,2,16,0.0,0.05,3.1281511783599854,-1
GIN,4,32,0.0,0.01,3.152595281600952,-1
GIN,3,32,0.0,0.01,3.172382354736328,-1
GIN,4,32,0.2,0.05,3.184035301208496,-1
GIN,2,64,0.5,0.05,3.1946754455566406,-1
GIN,3,16,0.0,0.05,3.2060673236846924,-1
GIN,3,16,0.5,0.001,3.2242770195007324,-1
GIN,3,64,0.5,0.01,3.224677801132202,-1
GIN,3,32,0.5,0.01,3.229301691055298,-1
GIN,4,32,0.5,0.001,3.230701208114624,-1
GIN,4,16,0.2,0.01,3.232936143875122,-1
GIN,3,64,0.2,0.05,3.290090560913086,-1
GIN,2,32,0.5,0.05,3.317924976348877,-1
GIN,2,16,0.5,0.05,3.334066867828369,-1
GIN,3,16,0.5,0.05,3.3383679389953613,-1
GIN,3,64,0.0,0.05,3.3510513305664062,-1
GIN,3,16,0.5,0.01,3.371941089630127,-1
GIN,4,16,0.2,0.05,3.452179193496704,-1
GIN,4,32,0.5,0.05,3.491946220397949,-1
GIN,2,32,0.0,0.05,3.5122852325439453,-1
GIN,4,16,0.5,0.01,3.53342866897583,-1
GIN,2,32,0.2,0.05,3.5417113304138184,-1
GIN,4,16,0.5,0.001,3.54952073097229,-1
GIN,4,64,0.5,0.01,3.571516990661621,-1
GIN,3,32,0.0,0.05,3.5760576725006104,-1
GIN,2,64,0.0,0.05,3.6004042625427246,-1
GIN,4,64,0.0,0.01,3.6014316082000732,-1
GIN,3,16,0.2,0.05,3.678875207901001,-1
GIN,3,64,0.5,0.05,3.726142168045044,-1
GIN,3,32,0.5,0.05,3.743190050125122,-1
GIN,4,64,0.0,0.05,3.7638235092163086,-1
GIN,4,64,0.2,0.05,3.7665927410125732,-1
GIN,3,32,0.2,0.05,3.7735397815704346,-1
GIN,4,64,0.5,0.05,3.7765896320343018,-1
GIN,2,64,0.2,0.05,3.7789127826690674,-1
GIN,4,16,0.5,0.05,3.780313491821289,-1
GIN,4,16,0.0,0.05,3.850191831588745,-1
GIN,2,16,0.2,0.05,3.8803865909576416,-1
GIN,4,32,0.0,0.05,3.941934585571289,-1
