model,num_layers,hidden_channels,dropout,lr,best_L,best_epoch
GraphSAGE,2,64,0.0,0.001,2.7926220893859863,-1
GraphSAGE,2,64,0.5,0.01,2.815376043319702,-1
GraphSAGE,4,64,0.0,0.001,2.815579652786255,-1
GraphSAGE,2,32,0.0,0.001,2.82319712638855,-1
GraphSAGE,2,16,0.0,0.05,2.823561191558838,-1
GraphSAGE,2,64,0.5,0.001,2.8270387649536133,-1
GraphSAGE,2,64,0.2,0.001,2.827335834503174,-1
GraphSAGE,3,64,0.2,0.01,2.8508758544921875,-1
GraphSAGE,4,32,0.2,0.01,2.850879669189453,-1
GraphSAGE,2,32,0.2,0.01,2.8508858680725098,-1
GraphSAGE,4,32,0.0,0.01,2.8508877754211426,-1
GraphSAGE,3,32,0.0,0.01,2.8508894443511963,-1
GraphSAGE,2,32,0.0,0.01,2.8508951663970947,-1
GraphSAGE,2,16,0.5,0.01,2.850907325744629,-1
GraphSAGE,3,64,0.2,0.001,2.8524436950683594,-1
GraphSAGE,3,64,0.5,0.001,2.854569435119629,-1
GraphSAGE,3,32,0.2,0.001,2.854736566543579,-1
GraphSAGE,2,32,0.5,0.001,2.8554623126983643,-1
GraphSAGE,2,16,0.0,0.001,2.856350898742676,-1
GraphSAGE,3,32,0.2,0.05,2.857342481613159,-1
GraphSAGE,2,32,0.5,0.01,2.8738033771514893,-1
GraphSAGE,3,64,0.0,0.01,2.8870692253112793,-1
GraphSAGE,3,32,0.0,0.001,2.8905415534973145,-1
GraphSAGE,3,64,0.0,0.001,2.89216947555542,-1
GraphSAGE,2,32,0.0,0.05,2.894547700881958,-1
GraphSAGE,2,64,0.2,0.05,2.8986639976501465,-1
GraphSAGE,3,64,0.2,0.05,2.9167685508728027,-1
GraphSAGE,4,64,0.2,0.01,2.916785717010498,-1
GraphSAGE,3,32,0.2,0.01,2.9167919158935547,-1
GraphSAGE,3,64,0.5,0.01,2.920112371444702,-1
GraphSAGE,2,16,0.2,0.001,2.9287168979644775,-1
GraphSAGE,2,64,0.0,0.05,2.930971145629883,-1
GraphSAGE,2,16,0.0,0.01,2.940441131591797,-1
GraphSAGE,3,16,0.0,0.001,2.9434328079223633,-1
GraphSAGE,4,64,0.0,0.01,2.9564828872680664,-1
GraphSAGE,2,64,0.5,0.05,2.9580631256103516,-1
GraphSAGE,2,64,0.2,0.01,2.9580702781677246,-1
GraphSAGE,4,16,0.0,0.01,2.9587786197662354,-1
GraphSAGE,3,64,0.0,0.05,2.9659464359283447,-1
GraphSAGE,3,32,0.5,0.01,2.9695096015930176,-1
GraphSAGE,3,32,0.5,0.001,2.9704294204711914,-1
GraphSAGE,1,32,0.5,0.05,2.9738707542419434,-1
GraphSAGE,2,64,0.0,0.01,2.980745792388916,-1
GraphSAGE,2,32,0.5,0.05,2.9868831634521484,-1
GraphSAGE,4,16,0.2,0.001,2.988039970397949,-1
GraphSAGE,2,16,0.2,0.01,2.994659185409546,-1
GraphSAGE,4,32,0.2,0.001,2.994978189468384,-1
GraphSAGE,2,16,0.2,0.05,3.011927366256714,-1
GraphSAGE,4,16,0.0,0.001,3.0148420333862305,-1
GraphSAGE,2,32,0.2,0.05,3.0271124839782715,-1
GraphSAGE,2,32,0.2,0.001,3.036529541015625,-1
GraphSAGE,2,16,0.5,0.05,3.0599982738494873,-1
GraphSAGE,3,16,0.0,0.01,3.06356143951416,-1
GraphSAGE,3,64,0.5,0.05,3.085024118423462,-1
GraphSAGE,4,64,0.5,0.01,3.08937406539917,-1
GraphSAGE,3,16,0.2,0.05,3.091829299926758,-1
GraphSAGE,4,64,0.5,0.001,3.1271071434020996,-1
GraphSAGE,3,32,0.0,0.05,3.129279613494873,-1
GraphSAGE,4,64,0.2,0.001,3.1296260356903076,-1
GraphSAGE,1,16,0.2,0.05,3.1327316761016846,-1
GraphSAGE,1,32,0.2,0.001,3.1394639015197754,-1
GraphSAGE,4,32,0.0,0.001,3.161494493484497,-1
GraphSAGE,1,32,0.0,0.05,3.18119215965271,-1
GraphSAGE,1,32,0.2,0.01,3.203784465789795,-1
GraphSAGE,1,64,0.0,0.05,3.205209732055664,-1
GraphSAGE,4,32,0.5,0.01,3.218484401702881,-1
GraphSAGE,2,16,0.5,0.001,3.228313446044922,-1
GraphSAGE,3,16,0.5,0.01,3.23010516166687,-1
GraphSAGE,1,64,0.5,0.05,3.2329320907592773,-1
GraphSAGE,4,16,0.0,0.05,3.244607925415039,-1
GraphSAGE,3,16,0.2,0.001,3.2561750411987305,-1
GraphSAGE,4,32,0.5,0.05,3.2945899963378906,-1
GraphSAGE,3,16,0.0,0.05,3.3019676208496094,-1
GraphSAGE,4,16,0.2,0.01,3.3034958839416504,-1
GraphSAGE,4,64,0.5,0.05,3.3068010807037354,-1
GraphSAGE,1,16,0.5,0.01,3.307842254638672,-1
GraphSAGE,3,16,0.2,0.01,3.3162243366241455,-1
GraphSAGE,1,16,0.0,0.05,3.3306796550750732,-1
GraphSAGE,3,32,0.5,0.05,3.3440558910369873,-1
GraphSAGE,1,16,0.2,0.01,3.3472142219543457,-1
